figure,T,method,beta,paper_mean,paper_se,source,scenario,decay
5,2000,lin,0.1,1.186479274135663,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,5000,lin,0.1,1.1563060797827194,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,500,lin,0.2,1.2236629637779934,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,1000,lin,0.2,1.2074546796021686,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,2000,lin,0.2,1.2150260219806075,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,5000,lin,0.2,1.180870875032653,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,500,lin,0.5,1.265725949871816,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,1000,lin,0.5,1.2611270554285974,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,2000,lin,0.5,1.2692031501369314,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,5000,lin,0.5,1.2407685774527981,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,500,lin,1.0,1.3086862798221208,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,1000,lin,1.0,1.3119391584806173,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,2000,lin,1.0,1.3141264377201667,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,5000,lin,1.0,1.2996006804539957,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,500,lin,5.0,1.332073314849798,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,1000,lin,5.0,1.341271089378734,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,2000,lin,5.0,1.3294934440836625,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,5000,lin,5.0,1.3297738604494378,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,500,lin,10.0,1.3365039393730496,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,1000,lin,10.0,1.3342044993301907,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,2000,lin,10.0,1.3377938747561169,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,5000,lin,10.0,1.3317928984840228,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.6
5,500,greedy,0.0,1.9523061752410298,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,1000,greedy,0.0,1.958026735147349,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,2000,greedy,0.0,1.946136929048968,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,5000,greedy,0.0,1.9329011071658648,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,500,pess,0.1,1.9840497069853145,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,1000,pess,0.1,1.990499369543151,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,2000,pess,0.1,1.9936400730408366,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,5000,pess,0.1,1.9985193838498305,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,500,pess,0.2,1.9866295633939481,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,1000,pess,0.2,1.990499369543151,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,2000,pess,0.2,1.9939204894066118,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,5000,pess,0.2,1.9962199294494702,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,500,pess,0.5,1.9861808914657075,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,1000,pess,0.5,1.9896581060883243,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,2000,pess,0.5,1.9946495777006277,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,5000,pess,0.5,1.9984072086890197,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,500,pess,1.0,1.9864613221889842,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,1000,pess,1.0,1.9899385224540995,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,2000,pess,1.0,1.9955469215571093,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,5000,pess,1.0,1.9979585367607786,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,500,pess,5.0,1.9861808914657075,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,1000,pess,5.0,1.9907797859089262,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,2000,pess,5.0,1.995378680352145,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,5000,pess,5.0,1.9968368569401767,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,500,pess,10.0,1.985620058734157,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,1000,pess,10.0,1.9903311139806856,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,2000,pess,10.0,1.9940887449690776,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,5000,pess,10.0,1.995378680352145,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,500,lin,0.0001,1.2333093958776686,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,1000,lin,0.0001,1.2301126119783286,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,2000,lin,0.0001,1.2051552395593101,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,5000,lin,0.0001,1.2016780392941948,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,500,lin,0.001,1.2371792020268715,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,1000,lin,0.001,1.2245042128753187,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,2000,lin,0.001,1.2038653041762424,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,5000,lin,0.001,1.1988177521622845,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,500,lin,0.01,1.2368987713035948,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,1000,lin,0.01,1.2259624038208519,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,2000,lin,0.01,1.2074546796021686,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,5000,lin,0.01,1.1985373357965092,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,500,lin,0.1,1.2546774072282623,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,1000,lin,0.1,1.2482277446704257,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,2000,lin,0.1,1.226411075749093,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
5,5000,lin,0.1,1.2261306450258163,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.8
